Genres,revenue,Year
Comedy,46,2007
Action,383531464,2007
Comedy,69307224,2007
Comedy,186072214,2007
Action,14334401,2007
Comedy,92601050,2007
Action,442824138,2007
Comedy,2426851,2007
Comedy,121463226,2007
Action,258022233,2007
Action,25303038,2007
Comedy,41098065,2007
Comedy,13620075,2007
Comedy,18197398,2007
Action,40452643,2007
Comedy,47738099,2007
Action,16974459,2007
Comedy,19776159,2007
Comedy,69136,2006
Comedy,20380,2007
Action,26820641,2007
Comedy,9576495,2007
Comedy,59192128,2007
Comedy,147880543,2007
Comedy,5741608,2007
Comedy,127766650,2007
Comedy,68377859,2007
Comedy,11293663,2007
Action,14711793,2007
Action,143451,2006
Comedy,55184721,2007
Comedy,1027699,2007
Comedy,18479,2007
Action,4,2006
Action,63215872,2007
Action,97838349,2007
Comedy,69474661,2007
Comedy,374743,2006
Comedy,8768,2007
Comedy,340487652,2007
Action,99965753,2007
Comedy,37707444,2007
Comedy,361366633,2007
Comedy,231411584,2007
Comedy,82701,2006
Action,457363168,2007
Comedy,119000410,2007
Comedy,18317151,2007
Comedy,5800000,2007
Comedy,160259319,2008
Comedy,152810,2005
Action,170764026,2008
Action,38804615,2008
Action,113244290,2008
Comedy,84646831,2008
Comedy,6575282,2008
Action,249905,2007
Comedy,34533783,2008
Comedy,43650785,2008
Comedy,55447968,2008
Action,13000000,2008
Comedy,33472850,2008
Comedy,33000000,2007
Comedy,68397662,2008
Action,22211426,2008
Comedy,41819064,2008
Action,5231128,2008
Comedy,6673422,2008
Comedy,47301471,2008
Action,23321954,2006
Comedy,10569964,2008
Comedy,41299492,2008
Action,34786960,2007
Comedy,105173115,2008
Action,25871834,2008
Action,65569869,2008
Comedy,43493123,2008
Action,93945766,2008
Action,127906624,2008
Comedy,6870249,2007
Comedy,63833449,2008
Action,585174222,2008
Comedy,84601681,2008
Action,226830568,2008
Comedy,834457,2006
Comedy,346592,2007
Comedy,170000000,2008
Action,1296184,2008
Comedy,415252786,2008
Comedy,201596308,2008
Comedy,6463286,2007
Comedy,240476,2008
Action,258270008,2008
Action,230685453,2008
Comedy,609841637,2008
Comedy,53191886,2008
Comedy,83398,2007
Action,101702060,2008
Comedy,50650079,2008
Comedy,153205,2007
Action,185258983,2009
Comedy,128107642,2008
Comedy,4040588,2008
Action,101624843,2008
Action,194287,2008
Comedy,7000000,2007
Action,188072649,2008
Comedy,1829917,2008
Action,2033165,2008
Action,73762516,2008
Comedy,8762890,2008
Comedy,163720069,2008
Action,14109284,2008
Action,72108608,2008
Comedy,6230276,2008
Comedy,50007546,2008
Action,39031337,2008
Action,42487390,2008
Comedy,245000,2006
Action,73174566,2008
Action,6,2007
Comedy,17286299,2008
Comedy,32973937,2008
Comedy,22707064,2008
Action,113280098,2008
Comedy,1752038,2007
Action,85416905,2008
Comedy,42105111,2008
Comedy,7000000,2008
Action,25739015,2008
Comedy,92380927,2008
Comedy,18755936,2008
Action,391410,2008
Action,108979549,2008
Comedy,163733697,2008
Action,10089373,2008
Comedy,225990978,2008
Comedy,3830137,2008
Comedy,69497,2008
Comedy,333912,2007
Comedy,21972336,2008
Action,51155219,2008
Comedy,244082376,2008
Comedy,114663461,2009
Action,908847,2007
Action,183293131,2009
Comedy,907456,2007
Action,45465299,2009
Comedy,177259441,2009
Comedy,73034460,2009
Comedy,173066,2007
Comedy,61458982,2009
Action,12764201,2009
Comedy,90508336,2009
Comedy,75871032,2009
Comedy,91636986,2009
Action,155446362,2009
Comedy,16174377,2008
Action,500154,2009
Comedy,24007324,2009
Comedy,17164377,2009
Comedy,108332743,2009
Action,363164265,2009
Comedy,6149791,2009
Action,44872,2008
Comedy,136267476,2009
Action,87784194,2009
Action,34560577,2009
Comedy,1007962,2009
Comedy,900689,2008
Comedy,2434658,2009
Action,371353001,2009
Comedy,18599102,2009
Comedy,459270619,2009
Comedy,10000000,2009
Comedy,29010817,2009
Comedy,317375031,2009
Comedy,62357900,2009
Comedy,35097815,2009
Action,25900,2006
Comedy,60722734,2009
Action,21834845,2008
Comedy,205298907,2009
Comedy,2012927,2009
Comedy,155545279,2009
Action,17280326,2009
Comedy,5405313,1999
Comedy,165888,2008
Comedy,5210988,2009
Comedy,41939392,2008
Comedy,15345201,2009
Comedy,1296971,2009
Action,32474120,2009
Comedy,6405245,2009
Comedy,20455276,2009
Action,48428063,2009
Action,20645327,2009
Comedy,68729358,2009
Comedy,31556061,2009
Comedy,10848783,2009
Action,40828540,2009
Action,6101046,2007
Comedy,295750,2009
Action,134,2009
Comedy,31430334,2009
Comedy,31912793,2009
Action,122444772,2009
Comedy,102391382,2009
Comedy,69564,2008
Action,12206028,2009
Comedy,171844840,2009
Comedy,40105542,2009
Comedy,28972508,2009
Comedy,8049666,2008
Comedy,12032983,2009
Action,10629321,2009
Action,296557,2009
Comedy,232732,2009
Action,5093707,1995
Action,16000000,2009
Action,769653595,2009
Action,60462347,2009
Action,19300483,2009
Comedy,92219310,2009
Comedy,2336172,2009
Action,22942221,2009
Comedy,85280250,2009
Action,2787965087,2009
Comedy,219103655,2009
Action,524028679,2009
Comedy,443140005,2009
Action,5802422,2009
Comedy,435000,2007
Action,157107755,2010
Action,43498108,2009
Comedy,2479538,2009
Comedy,245000,2005
Action,40239,2008
Comedy,10652035,2009
Comedy,216485654,2010
Action,55583804,2010
Action,45236543,2010
Comedy,1429299,2009
Action,25000000,2008
Action,8786375,2009
Comedy,112462508,2010
Action,52826594,2010
Comedy,6153967,2010
Comedy,49779728,2010
Comedy,21409028,2010
Action,136000000,2010
Comedy,985117,2009
Comedy,18097,2009
Action,18409891,2010
Action,8250000,2009
Action,14000000,2009
Action,96188903,2010
Comedy,152263880,2010
Comedy,49050886,2010
Comedy,75700498,2010
Action,23580000,2010
Action,6110000,2010
Comedy,4270000,2010
Comedy,39340177,2010
Action,310669540,2010
